Source:,C:\Users\moogtron 4k\Desktop\projects\ga tech soundlight sculpture\harmonic_content_code\jack_pcb\jack_pcb.sch,,,,,
Date:,Tue 11/02/2021 12:24:58 PM,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,132,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R25,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R26,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R27,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R28,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R29,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R30,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R31,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R32,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R33,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R34,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R35,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R36,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R37,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,R38,1000,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
,,U1,74HC14,74xx:74HC14,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74HC14
,,U2,6N138,Isolator:6N138,Package_DIP:DIP-8_W7.62mm_Socket,http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf
,,U3,74125,74xx_IEEE:74125,Package_DIP:DIP-14_W7.62mm_Socket,
,,U4,74125,74xx_IEEE:74125,Package_DIP:DIP-14_W7.62mm_Socket,
,,U5,74125,74xx_IEEE:74125,Package_DIP:DIP-14_W7.62mm_Socket,
,,U6,74125,74xx_IEEE:74125,Package_DIP:DIP-14_W7.62mm_Socket,
,,U7,Teensy4.1,teensy:Teensy4.1,teensy2:Teensy41,
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
